"site.id","Ocean","Latitude","Longitude","Species","Order","Mean","SD","CV....","Reference","dec_lat","dec_lon","dec_lon_deg","dec_lon_min","dec_lat_deg","dec_lat_min","dec_lon_paste","dec_lat_paste","dec_lon_new","dec_lat_new","genus","epithet","species_name","site","BO_parmax","BO_sstmean","BO_bathymin","BO_bathymax","BO_bathymean","MS_biogeo06_bathy_slope_5m","MS_biogeo17_sst_variance_5m","BO2_lightbotmax_bdmin","BO2_tempmax_bdmin","BO2_tempmean_bdmax","BO2_tempmean_bdmean","BO2_tempmean_bdmin","BO2_tempmin_bdmin","BO2_temprange_bdmin","BO2_carbonphytomean_bdmax","BO2_carbonphytomean_bdmean","BO2_carbonphytomean_bdmin","BO2_templtmax_ss","BO2_tempmean_ss","BO2_nitratemin_ss","BO2_ppmax_ss","BO2_ppmean_ss","flor"
"-10.0166666666667_53.4666666666667","North Atlantic","53°28'N","10°1'W","Sargassum muticum","Fucales",9.25,"n.g.","n.c.","Tanniou et al. 2013","53 28","10 1","10","1","53","28","10 1","53 28",-10.0166666666667,53.4666666666667,"Sargassum","muticum","Sargassum_muticum","site_114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.22570404865809
"-10.4166666666667_53.15","North Atlantic","53°09'N","9°85'W","Ascophyllum nodosum","Fucales",6.66,"0.7","10.51","Quéguineur et al. 2013","53 09","9 85","9","85","53","09","9 85","53 09",-10.4166666666667,53.15,"Ascophyllum","nodosum","Ascophyllum_nodosum","site_070",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89761985992753
"-10.4166666666667_53.15","North Atlantic","53°09'N","9°85'W","Himanthalia elongata","Fucales",2.79,"0.55","19.71","Quéguineur et al. 2013","53 09","9 85","9","85","53","09","9 85","53 09",-10.4166666666667,53.15,"Himanthalia","elongata","Himanthalia_elongata","site_070",51.132999420166,26.8139991760254,-244,14,-35,0.170000001788139,4.48950004577637,8.5666550242447e-11,30.5797119140625,20.2127647399902,26.5852355957031,26.8148994445801,22.6592197418213,7.92049169540405,0.101260557770729,0.419071286916733,0.47015780210495,29.6712436676025,26.7836303710938,3.73648326785769e-05,0.00183896231465042,0.000243578979279846,1.02961941718116
"-117.783333333333_33.5333333333333","North IP","33°32'N","117°47'W","Egregia menziesii","Laminariales",0.5,"0.32","63.25","Wakefield & Murray 1998","33 32","117 47","117","47","33","32","117 47","33 32",-117.783333333333,33.5333333333333,"Egregia","menziesii","Egregia_menziesii","site_161",51.132999420166,26.8139991760254,-244,14,-35,0.170000001788139,4.48950004577637,8.5666550242447e-11,30.5797119140625,20.2127647399902,26.5852355957031,26.8148994445801,22.6592197418213,7.92049169540405,0.101260557770729,0.419071286916733,0.47015780210495,29.6712436676025,26.7836303710938,3.73648326785769e-05,0.00183896231465042,0.000243578979279846,-0.673344553263766
"-118.35_33.3833333333333","North IP","33°23'N","118°21'W","Cystoseira neglecta","Fucales",1.37,"0.78","56.93","Van Alstyne et al. 1999a","33 23","118 21","118","21","33","23","118 21","33 23",-118.35,33.3833333333333,"Cystoseira","neglecta","Cystoseira_neglecta","site_142",50.5320014953613,13.8669996261597,-90,-32,-60,0.0500000007450581,2.32439994812012,1.83547915299459e-24,15.9665842056274,10.4577865600586,11.310980796814,13.3768014907837,11.5071821212769,4.45940160751343,0.393029808998108,0.706008076667786,1.81820178031921,15.988353729248,13.6957225799561,0.362809121608734,0.0820299908518791,0.0478264838457108,0.322083499169113
"-118.35_33.3833333333333","North IP","33°23'N","118°21'W","Egregia menziesii","Laminariales",2.16,"0.6","27.78","Van Alstyne et al. 1999a","33 23","118 21","118","21","33","23","118 21","33 23",-118.35,33.3833333333333,"Egregia","menziesii","Egregia_menziesii","site_142",53.8339996337891,23.2080001831055,-2012,109,-489,1.26999998092651,8.82019996643066,0,28.4449672698975,3.59258055686951,16.5993576049805,23.3451709747314,18.6140556335449,9.83091163635254,0.0200210809707642,0.0234220027923584,1.20140290260315,28.0066909790039,23.412899017334,2.90063411512165e-07,0.0333409272134304,0.00496243918314576,0.774727167552368
"-118.35_33.3833333333333","North IP","33°23'N","118°21'W","Eisenia arborea","Laminariales",5.02,"0.73","14.54","Van Alstyne et al. 1999a","33 23","118 21","118","21","33","23","118 21","33 23",-118.35,33.3833333333333,"Eisenia","arborea","Eisenia_arborea","site_142",57.1590003967285,15.33899974823,-29,2,-13,0.409999996423721,2.82369995117188,0.0736179798841476,18.8859214782715,15.7300052642822,15.7642250061035,15.8182411193848,13.480170249939,5.40575170516968,2.27253866195679,3.07477903366089,2.97836709022522,17.3851776123047,15.7653923034668,0.0173422265797853,0.0535183027386665,0.0228149797767401,1.61541998411165
"-118.35_33.3833333333333","North IP","33°23'N","118°21'W","Halidrys dioica","Fucales",4.14,"3.2","77.29","Van Alstyne et al. 1999a","33 23","118 21","118","21","33","23","118 21","33 23",-118.35,33.3833333333333,"Halidrys","dioica","Halidrys_dioica","site_142",57.9620018005371,20.69700050354,-1968,-1281,-1909,0.100000001490116,3.12459993362427,0,8.16543579101562,4.3313455581665,4.33134841918945,7.21679925918579,6.82470273971558,1.34073328971863,0.0199918448925018,0.0199918448925018,0.0199964866042137,23.4305839538574,20.8406925201416,5.20324192621047e-07,0.00136211572680622,0.00040616569458507,1.42310833424261
"-118.35_33.3833333333333","North IP","33°23'N","118°21'W","Hesperophycus harveyanus","Fucales",1.09,"0.29","26.61","Van Alstyne et al. 1999a","33 23","118 21","118","21","33","23","118 21","33 23",-118.35,33.3833333333333,"Hesperophycus","harveyanus","Hesperophycus_harveyanus","site_142",57.9620018005371,20.69700050354,-1968,-1281,-1909,0.100000001490116,3.12459993362427,0,8.16543579101562,4.3313455581665,4.33134841918945,7.21679925918579,6.82470273971558,1.34073328971863,0.0199918448925018,0.0199918448925018,0.0199964866042137,23.4305839538574,20.8406925201416,5.20324192621047e-07,0.00136211572680622,0.00040616569458507,0.0953101798043249
"-118.35_33.3833333333333","North IP","33°23'N","118°21'W","Macrocystis pyrifera","Laminariales",1.04,"0.37","35.58","Van Alstyne et al. 1999a","33 23","118 21","118","21","33","23","118 21","33 23",-118.35,33.3833333333333,"Macrocystis","pyrifera","Macrocystis_pyrifera","site_142",57.9620018005371,20.69700050354,-1968,-1281,-1909,0.100000001490116,3.12459993362427,0,8.16543579101562,4.3313455581665,4.33134841918945,7.21679925918579,6.82470273971558,1.34073328971863,0.0199918448925018,0.0199918448925018,0.0199964866042137,23.4305839538574,20.8406925201416,5.20324192621047e-07,0.00136211572680622,0.00040616569458507,0.048790164169432
"-118.35_33.3833333333333","North IP","33°23'N","118°21'W","Sargassum palmeri","Fucales",1.31,"0.44","33.59","Van Alstyne et al. 1999a","33 23","118 21","118","21","33","23","118 21","33 23",-118.35,33.3833333333333,"Sargassum","palmeri","Sargassum_palmeri","site_142",57.9620018005371,20.69700050354,-1968,-1281,-1909,0.100000001490116,3.12459993362427,0,8.16543579101562,4.3313455581665,4.33134841918945,7.21679925918579,6.82470273971558,1.34073328971863,0.0199918448925018,0.0199918448925018,0.0199964866042137,23.4305839538574,20.8406925201416,5.20324192621047e-07,0.00136211572680622,0.00040616569458507,0.27763173659828
"-118.35_33.3833333333333","North IP","33°23'N","118°21'W","Egregia menziesii (meristem)","Laminariales",1.38,"0.75","54.55","Van Alstyne et al. 1999b","33 23","118 21","118","21","33","23","118 21","33 23",-118.35,33.3833333333333,"Egregia","menziesii","Egregia_menziesii","site_142",57.9620018005371,20.69700050354,-1968,-1281,-1909,0.100000001490116,3.12459993362427,0,8.16543579101562,4.3313455581665,4.33134841918945,7.21679925918579,6.82470273971558,1.34073328971863,0.0199918448925018,0.0199918448925018,0.0199964866042137,23.4305839538574,20.8406925201416,5.20324192621047e-07,0.00136211572680622,0.00040616569458507,0.3293037471426
"-118.35_33.3833333333333","North IP","33°23'N","118°21'W","Eisenia arborea (blade)","Laminariales",4.59,"0.88","19.17","Van Alstyne et al. 1999b","33 23","118 21","118","21","33","23","118 21","33 23",-118.35,33.3833333333333,"Eisenia","arborea","Eisenia_arborea","site_142",57.9620018005371,20.69700050354,-1968,-1281,-1909,0.100000001490116,3.12459993362427,0,8.16543579101562,4.3313455581665,4.33134841918945,7.21679925918579,6.82470273971558,1.34073328971863,0.0199918448925018,0.0199918448925018,0.0199964866042137,23.4305839538574,20.8406925201416,5.20324192621047e-07,0.00136211572680622,0.00040616569458507,1.52605630349505
"-118.35_33.3833333333333","North IP","33°23'N","118°21'W","Eisenia arborea (meristem)","Laminariales",6.68,"0.97","14.52","Van Alstyne et al. 1999b","33 23","118 21","118","21","33","23","118 21","33 23",-118.35,33.3833333333333,"Eisenia","arborea","Eisenia_arborea","site_142",57.9620018005371,20.69700050354,-1968,-1281,-1909,0.100000001490116,3.12459993362427,0,8.16543579101562,4.3313455581665,4.33134841918945,7.21679925918579,6.82470273971558,1.34073328971863,0.0199918448925018,0.0199918448925018,0.0199964866042137,23.4305839538574,20.8406925201416,5.20324192621047e-07,0.00136211572680622,0.00040616569458507,1.90061387414014
"-118.35_33.3833333333333","North IP","33°23'N","118°21'W","Egregia menziesii (blade)","Laminariales",2.1,"0.6","28.57","Van Alstyne et al. 1999b","33 23","118 21","118","21","33","23","118 21","33 23",-118.35,33.3833333333333,"Egregia","menziesii","Egregia_menziesii","site_142",57.9620018005371,20.69700050354,-1968,-1281,-1909,0.100000001490116,3.12459993362427,0,8.16543579101562,4.3313455581665,4.33134841918945,7.21679925918579,6.82470273971558,1.34073328971863,0.0199918448925018,0.0199918448925018,0.0199964866042137,23.4305839538574,20.8406925201416,5.20324192621047e-07,0.00136211572680622,0.00040616569458507,0.746687947487975
"-118.416666666667_33.75","North IP","33°45'N","118°25\"W","Dictyota flabellata","Dictyotales",1.1,"0.32","28.75","Wakefield & Murray 1998","33 45","118 25","118","25","33","45","118 25","33 45",-118.416666666667,33.75,"Dictyota","flabellata","Dictyota_flabellata","site_160",57.9620018005371,20.69700050354,-1968,-1281,-1909,0.100000001490116,3.12459993362427,0,8.16543579101562,4.3313455581665,4.33134841918945,7.21679925918579,6.82470273971558,1.34073328971863,0.0199918448925018,0.0199918448925018,0.0199964866042137,23.4305839538574,20.8406925201416,5.20324192621047e-07,0.00136211572680622,0.00040616569458507,0.104360015324243
"-118.416666666667_33.75","North IP","33°45'N","118°25\"W","Halidrys dioica","Fucales",3.8,"1.58","41.61","Wakefield & Murray 1998","33 45","118 25","118","25","33","45","118 25","33 45",-118.416666666667,33.75,"Halidrys","dioica","Halidrys_dioica","site_160",57.9620018005371,20.69700050354,-1968,-1281,-1909,0.100000001490116,3.12459993362427,0,8.16543579101562,4.3313455581665,4.33134841918945,7.21679925918579,6.82470273971558,1.34073328971863,0.0199918448925018,0.0199918448925018,0.0199964866042137,23.4305839538574,20.8406925201416,5.20324192621047e-07,0.00136211572680622,0.00040616569458507,1.33762918913861
"-118.416666666667_33.75","North IP","33°45'N","118°25\"W","Eisenia arborea","Laminariales",2.6,"0.95","36.49","Wakefield & Murray 1998","33 45","118 25","118","25","33","45","118 25","33 45",-118.416666666667,33.75,"Eisenia","arborea","Eisenia_arborea","site_160",57.9620018005371,20.69700050354,-1968,-1281,-1909,0.100000001490116,3.12459993362427,0,8.16543579101562,4.3313455581665,4.33134841918945,7.21679925918579,6.82470273971558,1.34073328971863,0.0199918448925018,0.0199918448925018,0.0199964866042137,23.4305839538574,20.8406925201416,5.20324192621047e-07,0.00136211572680622,0.00040616569458507,0.959350221334602
"-118.416666666667_33.75","North IP","33°45'N","118°25\"W","Eisenia arborea","Laminariales",3.5,"1.26","36.14","Wakefield & Murray 1998","33 45","118 25","118","25","33","45","118 25","33 45",-118.416666666667,33.75,"Eisenia","arborea","Eisenia_arborea","site_160",57.9620018005371,20.69700050354,-1968,-1281,-1909,0.100000001490116,3.12459993362427,0,8.16543579101562,4.3313455581665,4.33134841918945,7.21679925918579,6.82470273971558,1.34073328971863,0.0199918448925018,0.0199918448925018,0.0199964866042137,23.4305839538574,20.8406925201416,5.20324192621047e-07,0.00136211572680622,0.00040616569458507,1.25561603747777
"-118.416666666667_33.75","North IP","33°45'N","118°25\"W","Endarachne binghamiae","Ectocarpales",2.7,"0.63","23.42","Wakefield & Murray 1998","33 45","118 25","118","25","33","45","118 25","33 45",-118.416666666667,33.75,"Endarachne","binghamiae","Endarachne_binghamiae","site_160",57.9620018005371,20.69700050354,-1968,-1281,-1909,0.100000001490116,3.12459993362427,0,8.16543579101562,4.3313455581665,4.33134841918945,7.21679925918579,6.82470273971558,1.34073328971863,0.0199918448925018,0.0199918448925018,0.0199964866042137,23.4305839538574,20.8406925201416,5.20324192621047e-07,0.00136211572680622,0.00040616569458507,0.99694863489161
"-118.416666666667_33.75","North IP","33°45'N","118°25\"W","Macrocystis pyrifera","Laminariales",1.4,"0.32","22.59","Wakefield & Murray 1998","33 45","118 25","118","25","33","45","118 25","33 45",-118.416666666667,33.75,"Macrocystis","pyrifera","Macrocystis_pyrifera","site_160",57.9620018005371,20.69700050354,-1968,-1281,-1909,0.100000001490116,3.12459993362427,0,8.16543579101562,4.3313455581665,4.33134841918945,7.21679925918579,6.82470273971558,1.34073328971863,0.0199918448925018,0.0199918448925018,0.0199964866042137,23.4305839538574,20.8406925201416,5.20324192621047e-07,0.00136211572680622,0.00040616569458507,0.343589704390077
"-118.416666666667_33.75","North IP","33°45'N","118°25\"W","Dictyopteris divaricate","Dictyotales",9.2,"n.g.","n.c.","Yang et al. 2014","33 45","118 25","118","25","33","45","118 25","33 45",-118.416666666667,33.75,"Dictyopteris","divaricate","Dictyopteris_divaricate","site_160",49.0909996032715,12.3760004043579,-4,77,1,0,7.24739980697632,12.2363452911377,17.9473400115967,13.1399965286255,13.1788120269775,13.1788120269775,9.18501567840576,8.76232528686523,1.47405016422272,1.45881748199463,1.45881748199463,15.715500831604,12.9271144866943,0.0016132122837007,0.0147815048694611,0.00342942029237747,2.22028985026722
"-118.416666666667_33.75","North IP","33°45'N","118°25\"W","Dictyopteris prolifera","Dictyotales",15.18,"n.g.","n.c.","Yang et al. 2014","33 45","118 25","118","25","33","45","118 25","33 45",-118.416666666667,33.75,"Dictyopteris","prolifera","Dictyopteris_prolifera","site_160",49.0909996032715,12.3760004043579,-4,77,1,0,7.24739980697632,12.2363452911377,17.9473400115967,13.1399965286255,13.1788120269775,13.1788120269775,9.18501567840576,8.76232528686523,1.47405016422272,1.45881748199463,1.45881748199463,15.715500831604,12.9271144866943,0.0016132122837007,0.0147815048694611,0.00342942029237747,2.72063731660768
"-119_38","North IP","38°N","119°W","Macrocystis pyrifera","Laminariales",1.22,"0.23","18.85","Targett et al. 1992","38 ","119 ","119","00","38","00","119 00","38 00",-119,38,"Macrocystis","pyrifera","Macrocystis_pyrifera","site_120",49.0909996032715,12.3760004043579,-4,77,1,0,7.24739980697632,12.2363452911377,17.9473400115967,13.1399965286255,13.1788120269775,13.1788120269775,9.18501567840576,8.76232528686523,1.47405016422272,1.45881748199463,1.45881748199463,15.715500831604,12.9271144866943,0.0016132122837007,0.0147815048694611,0.00342942029237747,0.207014169384326
"-120.666666666667_34.6166666666667","North IP","34°37'N","120°40'W","Fucus distichus","Fucales",4.75,"0.5","10.57","Arnold & Targett 1998","34 37","120 40","120","40","34","37","120 40","34 37",-120.666666666667,34.6166666666667,"Fucus","distichus","Fucus_distichus","site_003",49.0909996032715,12.3760004043579,-4,77,1,0,7.24739980697632,12.2363452911377,17.9473400115967,13.1399965286255,13.1788120269775,13.1788120269775,9.18501567840576,8.76232528686523,1.47405016422272,1.45881748199463,1.45881748199463,15.715500831604,12.9271144866943,0.0016132122837007,0.0147815048694611,0.00342942029237747,1.56024766824333
"-120_47","North IP","47°N","120°W","Nereocystis luetkeana","Laminariales",0.52,"0.01","1.92","Targett et al. 1992","47 ","120 ","120","00","47","00","120 00","47 00",-120,47,"Nereocystis","luetkeana","Nereocystis_luetkeana","site_122",49.0909996032715,12.3760004043579,-4,77,1,0,7.24739980697632,12.2363452911377,17.9473400115967,13.1399965286255,13.1788120269775,13.1788120269775,9.18501567840576,8.76232528686523,1.47405016422272,1.45881748199463,1.45881748199463,15.715500831604,12.9271144866943,0.0016132122837007,0.0147815048694611,0.00342942029237747,-0.63487827243597
"-120_47","North IP","47°N","120°W","Fucus distichus","Fucales",4.12,"0.38","9.22","Targett et al. 1992","47 ","120 ","120","00","47","00","120 00","47 00",-120,47,"Fucus","distichus","Fucus_distichus","site_122",49.0909996032715,12.3760004043579,-4,77,1,0,7.24739980697632,12.2363452911377,17.9473400115967,13.1399965286255,13.1788120269775,13.1788120269775,9.18501567840576,8.76232528686523,1.47405016422272,1.45881748199463,1.45881748199463,15.715500831604,12.9271144866943,0.0016132122837007,0.0147815048694611,0.00342942029237747,1.41827740697294
"-121.216666666667_35.65","North IP","35°39'N","121°13'W","Pelvetia fastigiata","Fucales",5.98,"0.99","16.56","Van Alstyne et al. 1999a","35 39","121 13","121","13","35","39","121 13","35 39",-121.216666666667,35.65,"Pelvetia","fastigiata","Pelvetia_fastigiata","site_143",49.0909996032715,12.3760004043579,-4,77,1,0,7.24739980697632,12.2363452911377,17.9473400115967,13.1399965286255,13.1788120269775,13.1788120269775,9.18501567840576,8.76232528686523,1.47405016422272,1.45881748199463,1.45881748199463,15.715500831604,12.9271144866943,0.0016132122837007,0.0147815048694611,0.00342942029237747,1.79009141212736
"-121.216666666667_35.65","North IP","35°39'N","121°13'W","Egregia menziesii","Laminariales",0.4,"0.12","30","Van Alstyne et al. 1999a","35 39","121 13","121","13","35","39","121 13","35 39",-121.216666666667,35.65,"Egregia","menziesii","Egregia_menziesii","site_143",49.0909996032715,12.3760004043579,-4,77,1,0,7.24739980697632,12.2363452911377,17.9473400115967,13.1399965286255,13.1788120269775,13.1788120269775,9.18501567840576,8.76232528686523,1.47405016422272,1.45881748199463,1.45881748199463,15.715500831604,12.9271144866943,0.0016132122837007,0.0147815048694611,0.00342942029237747,-0.891598119283784
"-121.216666666667_35.65","North IP","35°39'N","121°13'W","Laminaria dentigera","Laminariales",0.37,"0.08","21.62","Van Alstyne et al. 1999a","35 39","121 13","121","13","35","39","121 13","35 39",-121.216666666667,35.65,"Laminaria","dentigera","Laminaria_dentigera","site_143",49.7610015869141,13.0380001068115,-15,95,-12,0,12.5685997009277,0.00656320760026574,20.0790138244629,13.7265453338623,13.7877321243286,14.0269451141357,9.09407711029053,10.9849367141724,1.92009460926056,2.01176619529724,1.992879986763,17.8474941253662,13.8207893371582,0.0172704737633467,0.0334707796573639,0.00958653073757887,-0.967584026261706
