Latitude;Species;Order;TPC (%DW);SD;Reference
64°S;Adenocystis utricularis;Ectocarpales;1.60;n.g.;Iken et al. 2007
64°S;Ascoseira mirabilis (blade tip);Ascoseirales;1.60;n.g.;Iken et al. 2007
64°S;Ascoseira mirabilis (holdfast);Ascoseirales;6.27;n.g.;Iken et al. 2007
64°S;Ascoseira mirabilis (middle blade);Ascoseirales;2.27;n.g.;Iken et al. 2007
64°S;Chordaria linearis;Ectocarpales;2.00;n.g.;Iken et al. 2007
64°S;Cystophaera jacquinotii (main axis);Fucales;2.67;n.g.;Iken et al. 2007
64°S;Cystophaera jacquinotii (middle blade);Fucales;2.93;n.g.;Iken et al. 2007
64°S;Cystophaera jacquinotii (pneumatocysts);Fucales;0.53;n.g.;Iken et al. 2007
64°S;Cystophaera jacquinotii (receptacles);Fucales;4.53;n.g.;Iken et al. 2007
64°S;Desmarestia anceps;Desmarestiales;11.70;3.00;Fairhead et al. 2005
64°S;Desmarestia anceps;Desmarestiales;3.30;n.g.;Fairhead et al. 2006
64°S;Desmarestia anceps (branch);Desmarestiales;4.00;n.g.;Iken et al. 2007
64°S;Desmarestia anceps (holdfast);Desmarestiales;2.00;n.g.;Iken et al. 2007
64°S;Desmarestia anceps (stipe);Desmarestiales;4.53;n.g.;Iken et al. 2007
64°S;Desmarestia antarctica (branch);Desmarestiales;8.93;n.g.;Iken et al. 2007
64°S;Desmarestia antarctica (holdfast);Desmarestiales;3.20;n.g.;Iken et al. 2007
64°S;Desmarestia menziesii;Desmarestiales;5.20;2.00;Fairhead et al. 2005
64°S;Desmarestia menziesii;Desmarestiales;6.00;n.g.;Fairhead et al. 2006
64°S;Desmarestia menziesii (branch);Desmarestiales;1.33;n.g.;Iken et al. 2007
64°S;Desmarestia menziesii (holdfast);Desmarestiales;2.80;n.g.;Iken et al. 2007
64°S;Himantothallus grandifolius (blade tip);Desmarestiales;6.27;n.g.;Iken et al. 2007
64°S;Himantothallus grandifolius (holdfast);Desmarestiales;6.80;n.g.;Iken et al. 2007
64°S;Himantothallus grandifolius (middle blade);Desmarestiales;5.20;n.g.;Iken et al. 2007
64°S;Phaeurus antarcticus;Desmarestiales;4.93;n.g.;Iken et al. 2007
62°S;Ascoseira mirabilis (10m);Ascoseirales;0.71;0.17;Gómez & Huovinen 2015
62°S;Ascoseira mirabilis (20m);Ascoseirales;0.66;0.24;Gómez & Huovinen 2015
62°S;Ascoseira mirabilis (5m);Ascoseirales;0.88;0.14;Gómez & Huovinen 2015
62°S;Desmarestia anceps (10m);Desmarestiales;11.74;0.47;Gómez & Huovinen 2015
62°S;Desmarestia anceps (20m);Desmarestiales;14.55;0.47;Gómez & Huovinen 2015
62°S;Desmarestia anceps (30m);Desmarestiales;9.19;0.16;Gómez & Huovinen 2015
62°S;Desmarestia menziesii (10m);Desmarestiales;6.13;0.08;Gómez & Huovinen 2015
62°S;Desmarestia menziesii (20m);Desmarestiales;3.57;0.63;Gómez & Huovinen 2015
62°S;Desmarestia menziesii (30m);Desmarestiales;5.11;0.32;Gómez & Huovinen 2015
62°S;Himantothallus grandifolius (10m);Desmarestiales;11.23;0.47;Gómez & Huovinen 2015
62°S;Himantothallus grandifolius (20m);Desmarestiales;7.40;0.32;Gómez & Huovinen 2015
62°S;Himantothallus grandifolius (30m);Desmarestiales;9.19;0.32;Gómez & Huovinen 2015
39°S;Desmarestia antarctica (blade);Desmarestiales;1.32;0.13;Duarte et al. 2011
39°S;Desmarestia antarctica (stipe);Desmarestiales;0.93;0.15;Duarte et al. 2011
39°S;Durvillaea antarctica;Fucales;1.56;n.g.;Cruces et al. 2013
39°S;Lessonia nigrescens;Laminariales;0.62;n.g.;Cruces et al. 2013
39°S;Lessonia spicata;Laminariales;0.53;0.06;Cruces et al. 2016
38°S;Durvillae potatorum;Fucales;0.63;0.12;Steinberg 1989 (summer data)
38°S;Durvillae potatorum;Fucales;0.63;0.05;Steinberg 1989 (winter data)
38°S;Macrocystis angustifolia;Laminariales;0.62;0.08;Steinberg 1989 (summer data)
38°S;Macrocystis angustifolia;Laminariales;0.62;0.03;Steinberg 1989 (winter data)
38°S;Sargassum sinclairii;Fucales;11.58;0.13;Steinberg 1986
37°S;Carpophyllum angustifolium;Fucales;10.14;0.69;Steinberg 1989 (summer data)
