Hemisphere;Latitude;Longitude;Species;Order;Mean;SD;CV (%);Reference
North Atlantic;36°52'N;2°12'W;Cystoseira tamariscifolia (summer);Fucales;8;n.g.;n.c.;Abdala-Díaz et al. 2006
North Atlantic;36°52'N;2°12'W;Cystoseira tamariscifolia (winter);Fucales;2;n.g.;n.c.;Abdala-Díaz et al. 2006
North Atlantic;24°52'N;77°53'W;Lobophora variegata;Dictyotales;3.55;0.62;17.56;Arnold & Targett 1998
North Atlantic;24°52'N;77°53'W;Sargassum pteropleuron;Fucales;4.32;0.24;5.61;Arnold & Targett 1998
North IP;34°37'N;120°40'W;Fucus distichus;Fucales;4.75;0.5;10.57;Arnold & Targett 1998
North Atlantic;32°19'N;64°43'W;Lobophora variegata (cultured);Dictyotales;6.17;0.38;6.15;Arnold & Targett 2000
South IP;37°30'S;140°2'E;Ecklonia radiata;Laminariales;3.4;n.g.;n.c.;Charoensiddhi et al. 2014
North Atlantic;28°N;15°W;Cystoseira compressa;Fucales;4.83;n.g.;n.c.;Chkhikvishvili & Ramazanov 2000
North Atlantic;28°N;15°W;Cystoseira foeniculaceae;Fucales;2.16;n.g.;n.c.;Chkhikvishvili & Ramazanov 2000
North Atlantic;28°N;15°W;Dictyopteris membranaceae;Dictyotales;0.09;n.g.;n.c.;Chkhikvishvili & Ramazanov 2000
North Atlantic;28°N;15°W;Dictyota ciliolata;Dictyotales;0.08;n.g.;n.c.;Chkhikvishvili & Ramazanov 2000
North Atlantic;28°N;15°W;Dictyota sp.2;Dictyotales;0;n.g.;n.c.;Chkhikvishvili & Ramazanov 2000
North Atlantic;28°N;15°W;Dictytota sp.1;Dictyotales;0.03;n.g.;n.c.;Chkhikvishvili & Ramazanov 2000
North Atlantic;28°N;15°W;Fucus spiralis;Fucales;2.17;n.g.;n.c.;Chkhikvishvili & Ramazanov 2000
North Atlantic;28°N;15°W;Halopteris scoparia;Sphaceraliales;0.16;n.g.;n.c.;Chkhikvishvili & Ramazanov 2000
North Atlantic;28°N;15°W;Lobophora variegata;Dictyotales;1.2;n.g.;n.c.;Chkhikvishvili & Ramazanov 2000
North Atlantic;28°N;15°W;Padina pavonica;Dictyotales;0.69;n.g.;n.c.;Chkhikvishvili & Ramazanov 2000
North Atlantic;28°N;15°W;Sargassum desfontrainessi;Fucales;1.68;n.g.;n.c.;Chkhikvishvili & Ramazanov 2000
North Atlantic;28°N;15°W;Sargassum furcatum;Fucales;2.97;n.g.;n.c.;Chkhikvishvili & Ramazanov 2000
North Atlantic;28°N;15°W;Stypopodium zonale;Dictyotales;1.22;n.g.;n.c.;Chkhikvishvili & Ramazanov 2000
North Atlantic;28°N;15°W;Zonaria tonznefortii;Dictyotales;1.06;n.g.;n.c.;Chkhikvishvili & Ramazanov 2000
North IP;48°32'N;4°39' W;Ascophyllum nodosum;Fucales;5.75;n.g.;n.c.;Connan et al. 2004
North IP;48°32'N;4°39' W;Bifurcaria bifurcata;Fucales;3.73;n.g.;n.c.;Connan et al. 2004
North IP;48°32'N;4°39' W;Fucus serratus;Fucales;4.27;n.g.;n.c.;Connan et al. 2004
North IP;48°32'N;4°39' W;Fucus spiralis;Fucales;3.88;n.g.;n.c.;Connan et al. 2004
North IP;48°32'N;4°39' W;Fucus vesiculosus;Fucales;5.93;n.g.;n.c.;Connan et al. 2004
North IP;48°32'N;4°39' W;Himanthalia elongata;Fucales;2.17;n.g.;n.c.;Connan et al. 2004
North IP;48°32'N;4°39' W;Laminaria digitata;Laminariales;0.13;n.g.;n.c.;Connan et al. 2004
North IP;48°32'N;4°39' W;Pelvetia canaliculata;Fucales;3.39;n.g.;n.c.;Connan et al. 2004
North Atlantic;47°51'N;3°54'W;Ascophyllum nodosum;Fucales;4.8;0.5;10.42;Connan et al. 2006
North Atlantic;47°51'N;3°54'W;Laminaria digitata;Laminariales;0.2;0.1;50;Connan et al. 2006
North Atlantic;47°51'N;3°54'W;Laminaria hyperborea;Laminariales;2.6;1.5;57.69;Connan et al. 2006
North IP;48°32'N;4°39' W;Sargassum muticum;Fucales;4.9;2.9;59.18;Connan et al. 2006
North IP;48°32'N;4°39' W;Ascophyllum nodosum;Fucales;6;n.g.;n.c.;Connan et al. 2007
North IP;48°32'N;4°39' W;Bifurcaria bifurcata;Fucales;4;n.g.;n.c.;Connan et al. 2007
North IP;48°32'N;4°39' W;Pelvetia canaliculata;Fucales;3;n.g.;n.c.;Connan et al. 2007
North IP;48°22'N;4°33'W;Fucus vesiculosus;Fucales;1.43;0.52;36.52;Creis et al. 2015
South IP;39°51'S;73°23'W;Durvillaea antarctica;Fucales;1.56;n.g.;n.c.;Cruces et al. 2013
South IP;39°51'S;73°23'W;Lessonia nigrescens;Laminariales;0.62;n.g.;n.c.;Cruces et al. 2013
South IP;39°51'S;73°23'W;Lessonia spicata;Laminariales;0.53;0.06;11.3;Cruces et al. 2015
North IP;12°15'N;109°12'E;Sargassum aquifolium;Fucales;0.68;n.g.;n.c.;Cuong et al. 2015
North IP;12°15'N;109°12'E;Sargassum denticarpum;Fucales;0.1;n.g.;n.c.;Cuong et al. 2015
North IP;12°15'N;109°12'E;Sargassum mcclurei;Fucales;0.21;n.g.;n.c.;Cuong et al. 2015
North IP;12°15'N;109°12'E;Sargassum olygocystum;Fucales;0.24;n.g.;n.c.;Cuong et al. 2015
North IP;12°15'N;109°12'E;Sargassum polycystum;Fucales;0.07;n.g.;n.c.;Cuong et al. 2015
North IP;12°15'N;109°12'E;Sargassum serratum;Fucales;0.13;n.g.;n.c.;Cuong et al. 2015
North Atlantic;34°43'N;76°41'W;Fucus vesiculosus;Fucales;0.86;n.g.;n.c.;Deal et al. 2003
North Atlantic;44°29'N;63°56'W;Fucus vesiculosus (1.8±0.8cm);Fucales;7.3;0.63;8.63;Denton et al. 1990
North Atlantic;44°29'N;63°56'W;Fucus vesiculosus (32.5±7.5cm);Fucales;12.83;4;31.18;Denton et al. 1990
South IP;39°51'S;73°24'W;Desmarestia antarctica (blade);Desmarestiales;1.32;0.13;9.45;Duarte et al. 2011
South IP;39°51'S;73°24'W;Desmarestia antarctica (stipe);Desmarestiales;0.93;0.15;15.75;Duarte et al. 2011
North IP;59°30'N;151°31'W;Agarum clathratum (blade summer);Laminariales;6.43;n.g.;n.c.;Dubois & Iken 2012
North IP;59°30'N;151°31'W;Agarum clathratum (blade winter);Laminariales;5.14;n.g.;n.c.;Dubois & Iken 2012
North IP;59°30'N;151°31'W;Agarum clathratum (stipe summer);Laminariales;4.71;n.g.;n.c.;Dubois & Iken 2012
North IP;59°30'N;151°31'W;Agarum clathratum (stipe winter);Laminariales;4.29;n.g.;n.c.;Dubois & Iken 2012
North IP;59°30'N;151°31'W;Nereocystis luetkeana (blade summer);Laminariales;1.93;n.g.;n.c.;Dubois & Iken 2012
North IP;59°30'N;151°31'W;Nereocystis luetkeana (blade winter);Laminariales;0.43;n.g.;n.c.;Dubois & Iken 2012
North IP;59°30'N;151°31'W;Nereocystis luetkeana (stipe summer);Laminariales;0.29;n.g.;n.c.;Dubois & Iken 2012
North IP;59°30'N;151°31'W;Nereocystis luetkeana (stipe winter);Laminariales;0.21;n.g.;n.c.;Dubois & Iken 2012
North IP;59°30'N;151°31'W;Saccharina groenlandica (blade summer);Laminariales;3.43;n.g.;n.c.;Dubois & Iken 2012
North IP;59°30'N;151°31'W;Saccharina groenlandica (blade winter);Laminariales;4.36;n.g.;n.c.;Dubois & Iken 2012
North IP;59°30'N;151°31'W;Saccharina groenlandica (stipe summer);Laminariales;1;n.g.;n.c.;Dubois & Iken 2012
North IP;59°30'N;151°31'W;Saccharina groenlandica (stipe winter);Laminariales;1.93;n.g.;n.c.;Dubois & Iken 2012
North IP;59°30'N;151°31'W;Saccharina latissima (blade summer);Laminariales;4.71;n.g.;n.c.;Dubois & Iken 2012
North IP;59°30'N;151°31'W;Saccharina latissima (blade winter);Laminariales;6.29;n.g.;n.c.;Dubois & Iken 2012
North IP;59°30'N;151°31'W;Saccharina latissima (stipe summer);Laminariales;35.71;n.g.;n.c.;Dubois & Iken 2012
North IP;59°30'N;151°31'W;Saccharina latissima (stipe winter);Laminariales;35.86;n.g.;n.c.;Dubois & Iken 2012
South Atlantic;64°46'S;64°04'W;Desmarestia anceps;Desmarestiales;11.7;3;25.64;Fairhead et al. 2005
South Atlantic;64°46'S;64°04'W;Desmarestia menziesii;Desmarestiales;5.2;2;38.46;Fairhead et al. 2005
South Atlantic;64°46'S;64°04'W;Desmarestia anceps;Desmarestiales;3.3;n.g.;n.c.;Fairhead et al. 2006
South Atlantic;64°46'S;64°04'W;Desmarestia menziesii;Desmarestiales;6;n.g.;n.c.;Fairhead et al. 2006
South Atlantic;23°02'S;44°10'W;Dictyopteris plagiogramma;Dictyotales;0.72;0.16;22.22;Fleury et al. 1994
South Atlantic;23°01'S;44°25'W;Dictyota cervicornis (=Canistrocarpus cervicornis);Dictyotales;0.87;0.06;6.9;Fleury et al. 1994
South Atlantic;23°01'S;44°25'W;Sargassum cymosum;Fucales;0.81;0.02;2.47;Fleury et al. 1994
South Atlantic;22°44'S;44°00'W;Dictyopteris delicatula;Dictyotales;0.51;0;n.c.;Fleury et al. 1994
South Atlantic;22°44'S;44°00'W;Dictyota cervicornis (=Canistrocarpus cervicornis);Dictyotales;0.37;0;n.c.;Fleury et al. 1994
South Atlantic;22°44'S;44°00'W;Dictyota dichotoma;Dictyotales;0.13;0.01;7.69;Fleury et al. 1994
South Atlantic;22°44'S;44°00'W;Dictyota mertensii;Dictyotales;0.32;0.04;12.5;Fleury et al. 1994
South Atlantic;22°44'S;44°00'W;Sargassum furcatum;Fucales;1.43;0.02;1.4;Fleury et al. 1994
North Atlantic;58°49'N;19°30'E;Fucus radicans;Fucales;2.3;n.g.;n.c.;Forslund et al. 2012
North Atlantic;58°49'N;19°30'E;Fucus vesiculosus;Fucales;4.9;n.g.;n.c.;Forslund et al. 2012
South Atlantic;62°12'S;58°58'W;Ascoseira mirabilis (10m);Ascoseirales;0.71;0.17;24;Gómez & Huovinen 2015
South Atlantic;62°12'S;58°58'W;Ascoseira mirabilis (20m);Ascoseirales;0.66;0.24;36.3;Gómez & Huovinen 2015
South Atlantic;62°12'S;58°58'W;Ascoseira mirabilis (5m);Ascoseirales;0.88;0.14;15.54;Gómez & Huovinen 2015
South Atlantic;62°12'S;58°58'W;Desmarestia anceps (10m);Desmarestiales;11.74;0.47;4.04;Gómez & Huovinen 2015
South Atlantic;62°12'S;58°58'W;Desmarestia anceps (20m);Desmarestiales;14.55;0.47;3.26;Gómez & Huovinen 2015
South Atlantic;62°12'S;58°58'W;Desmarestia anceps (30m);Desmarestiales;9.19;0.16;1.72;Gómez & Huovinen 2015
South Atlantic;62°12'S;58°58'W;Desmarestia menziesii (10m);Desmarestiales;6.13;0.08;1.29;Gómez & Huovinen 2015
South Atlantic;62°12'S;58°58'W;Desmarestia menziesii (20m);Desmarestiales;3.57;0.63;17.68;Gómez & Huovinen 2015
South Atlantic;62°12'S;58°58'W;Desmarestia menziesii (30m);Desmarestiales;5.11;0.32;6.19;Gómez & Huovinen 2015
South Atlantic;62°12'S;58°58'W;Himantothallus grandifolius (10m);Desmarestiales;11.23;0.47;4.22;Gómez & Huovinen 2015
South Atlantic;62°12'S;58°58'W;Himantothallus grandifolius (20m);Desmarestiales;7.4;0.32;4.27;Gómez & Huovinen 2015
South Atlantic;62°12'S;58°58'W;Himantothallus grandifolius (30m);Desmarestiales;9.19;0.32;3.44;Gómez & Huovinen 2015
North IP;48°31'N;123°01'W;Agarum fimbriatum (blade);Laminariales;7.2;2.76;38.33;Hammerstrom et al. 1998
