"Ocean","Longitude","Latitude","Scientific name","Order","Mean","Reference"
"North Atlantic",-10.4166666666667,53.15,"Himanthalia elongata","Fucales",2.79,"Quéguineur et al. 2013"
"North IP",-117.783333333333,33.5333333333333,"Egregia menziesii","Laminariales",0.5,"Wakefield & Murray 1998"
"North IP",-118.35,33.3833333333333,"Cystoseira neglecta","Fucales",1.37,"Van Alstyne et al. 1999a"
"North IP",-118.35,33.3833333333333,"Egregia menziesii","Laminariales",2.16,"Van Alstyne et al. 1999a"
"North IP",-118.35,33.3833333333333,"Eisenia arborea","Laminariales",5.02,"Van Alstyne et al. 1999a"
"North IP",-118.35,33.3833333333333,"Halidrys dioica","Fucales",4.14,"Van Alstyne et al. 1999a"
"North IP",-118.35,33.3833333333333,"Hesperophycus harveyanus","Fucales",1.09,"Van Alstyne et al. 1999a"
"North IP",-118.35,33.3833333333333,"Macrocystis pyrifera","Laminariales",1.04,"Van Alstyne et al. 1999a"
"North IP",-118.35,33.3833333333333,"Sargassum palmeri","Fucales",1.31,"Van Alstyne et al. 1999a"
"North IP",-118.35,33.3833333333333,"Egregia menziesii","Laminariales",1.38,"Van Alstyne et al. 1999b"
"North IP",-118.35,33.3833333333333,"Eisenia arborea","Laminariales",4.59,"Van Alstyne et al. 1999b"
"North IP",-118.35,33.3833333333333,"Eisenia arborea","Laminariales",6.68,"Van Alstyne et al. 1999b"
"North IP",-118.35,33.3833333333333,"Egregia menziesii","Laminariales",2.1,"Van Alstyne et al. 1999b"
"North IP",-118.416666666667,33.75,"Halidrys dioica","Fucales",3.8,"Wakefield & Murray 1998"
"North IP",-118.416666666667,33.75,"Eisenia arborea","Laminariales",3.5,"Wakefield & Murray 1998"
"North IP",-118.416666666667,33.75,"Macrocystis pyrifera","Laminariales",1.4,"Wakefield & Murray 1998"
"North IP",-118.416666666667,33.75,"Dictyopteris prolifera","Dictyotales",15.18,"Yang et al. 2014"
"North IP",-119,38,"Macrocystis pyrifera","Laminariales",1.22,"Targett et al. 1992"
"North IP",-120.666666666667,34.6166666666667,"Fucus distichus","Fucales",4.75,"Arnold & Targett 1998"
"North IP",-120,47,"Nereocystis luetkeana","Laminariales",0.52,"Targett et al. 1992"
"North IP",-120,47,"Fucus distichus","Fucales",4.12,"Targett et al. 1992"
"North IP",-121.216666666667,35.65,"Pelvetia fastigiata","Fucales",5.98,"Van Alstyne et al. 1999a"
"North IP",-121.216666666667,35.65,"Egregia menziesii","Laminariales",0.4,"Van Alstyne et al. 1999a"
"North IP",-121.216666666667,35.65,"Laminaria dentigera","Laminariales",0.37,"Van Alstyne et al. 1999a"
"North IP",-121.216666666667,35.65,"Laminaria sinclairii","Laminariales",0.37,"Van Alstyne et al. 1999a"
"North IP",-121.933333333333,36.6333333333333,"Egregia menziesii","Laminariales",0.58,"Van Alstyne et al. 1999a"
"North IP",-121.933333333333,36.6333333333333,"Laminaria farlowii","Laminariales",4.6,"Van Alstyne et al. 1999a"
"North IP",-121.933333333333,36.6333333333333,"Macrocystis pyrifera","Laminariales",1.31,"Van Alstyne et al. 1999a"
"North IP",-121.933333333333,36.6333333333333,"Cystoseira osmundacea","Fucales",1.6,"Van Alstyne et al. 1999a"
