"Order","Scientific name"
"Desmarestiales","Desmarestia anceps"
"Desmarestiales","Desmarestia antarctica"
"Desmarestiales","Desmarestia menziesii"
"Desmarestiales","Himantothallus grandifolius"
"Desmarestiales","Phaeurus antarcticus"
"Dictyotales","Canistrocarpus cervicornis"
"Dictyotales","Dictyopteris delicatula"
"Dictyotales","Dictyopteris justii"
"Dictyotales","Dictyopteris membranaceae"
"Dictyotales","Dictyopteris muelleri"
"Dictyotales","Dictyopteris polipodioides"
"Dictyotales","Dictyopteris prolifera"
"Dictyotales","Dictyota australis"
"Dictyotales","Dictyota bartayresii"
"Dictyotales","Dictyota cervicornis"
"Dictyotales","Dictyota ceylanica"
"Dictyotales","Dictyota ciliolata"
"Dictyotales","Dictyota crispata"
"Dictyotales","Dictyota dichotoma"
"Dictyotales","Dictyota divaricata"
"Dictyotales","Dictyota flabellata"
"Dictyotales","Dictyota mertensii"
"Dictyotales","Dictyota naevosa"
"Dictyotales","Dictyota pfaffii"
"Dictyotales","Dictyota sp."
"Dictyotales","Dictyota spiralis"
"Dictyotales","Dictyota spp."
"Dictyotales","Dictytota sp.1"
"Dictyotales","Dilophus sp."
"Dictyotales","Distromium sp."
"Dictyotales","Homoeostrichus sinclairii"
"Dictyotales","Lobophora variegata"
"Dictyotales","Padina gymnospora"
"Dictyotales","Padina jamaicensis"
"Dictyotales","Padina japonica"
"Dictyotales","Padina pavonica"
"Dictyotales","Padina spp."
"Dictyotales","Padina tenuis"
"Dictyotales","Padina tetrastromatica"
"Dictyotales","Padinasp. NA"
"Dictyotales","Spatoglossum asperum"
"Dictyotales","Spatoglossum macrodontum"
"Dictyotales","Spatoglossum schroederi"
"Dictyotales","Stoechospermum marginatum"
"Dictyotales","Stypopodium zonale"
"Dictyotales","Zonaria diesigiana"
"Dictyotales","Zonaria tonznefortii"
"Dictyotales","Zonaria turneriana"
"Fucales","Acrocarpia paniculata"
"Fucales","Ascophyllum nodosum"
"Fucales","Bifurcaria bifurcata"
"Fucales","Carpophyllum angustifolium"
"Fucales","Carpophyllum flexuosum"
"Fucales","Carpophyllum maschalocarpum"
"Fucales","Caulocystis cephalornithos"
"Fucales","Cystophaera jacquinotii"
"Fucales","Cystophora brownii"
"Fucales","Cystophora expansa"
"Fucales","Cystophora grevillei"
"Fucales","Cystophora monilifera"
"Fucales","Cystophora moniliformis"
"Fucales","Cystophora platylobium"
"Fucales","Cystophora polycistidea"
"Fucales","Cystophora siliquosa"
"Fucales","Cystophora sp."
"Fucales","Cystophora subfarcinata"
"Fucales","Cystophora torulosa"
"Fucales","Cystoseira amentacea"
"Fucales","Cystoseira compressa"
"Fucales","Cystoseira foeniculaceae"
"Fucales","Cystoseira myrica"
"Fucales","Cystoseira neglecta"
"Fucales","Cystoseira osmundacea"
"Fucales","Cystoseira osmundaceae"
"Fucales","Cystoseira tamariscifolia"
"Fucales","Cystoseira trinoids"
"Fucales","Durvillae potatorum"
"Fucales","Durvillaea antarctica"
"Fucales","Fucus distichus"
"Fucales","Fucus gardneri"
"Fucales","Fucus radicans"
"Fucales","Fucus serratus"
"Fucales","Fucus spiralis"
"Fucales","Fucus vesiculosus"
"Fucales","Halidrys dioica"
"Fucales","Hesperophycus harveyanus"
"Fucales","Himanthalia elongata"
"Fucales","Hormophysa cuneiformis"
"Fucales","Hormophysa triquetra"
"Fucales","Myagropsis myagroides"
"Fucales","Myriodesma serrulata"
"Fucales","Pelvetia canaliculata"
"Fucales","Pelvetia fastigiata"
"Fucales","Pelvetiopsis limitata"
"Fucales","Phyllospora comosa"
"Fucales","Sargassopsis decurrens"
"Fucales","Sargassum aquifolium"
"Fucales","Sargassum bracteolosum"
"Fucales","Sargassum confusum"
"Fucales","Sargassum cristaefolium"
"Fucales","Sargassum decipiens"
"Fucales","Sargassum decurrens"
"Fucales","Sargassum denticarpum"
"Fucales","Sargassum desfontrainessi"
"Fucales","Sargassum echinocarpum"
"Fucales","Sargassum filipendula"
"Fucales","Sargassum fluitans"
"Fucales","Sargassum furcatum"
"Fucales","Sargassum globulariaefolium"
"Fucales","Sargassum hemiphyllum"
"Fucales","Sargassum hystrix"
"Fucales","Sargassum ligulatum"
"Fucales","Sargassum linearifolium"
"Fucales","Sargassum mangarevense"
"Fucales","Sargassum marginatum"
"Fucales","Sargassum mcclurei"
"Fucales","Sargassum muticum"
"Fucales","Sargassum myriocystum"
"Fucales","Sargassum oligocystin"
"Fucales","Sargassum oligocystum"
"Fucales","Sargassum olygocystum"
"Fucales","Sargassum palmeri"
"Fucales","Sargassum paradoxum"
"Fucales","Sargassum patens"
"Fucales","Sargassum platycarpum"
"Fucales","Sargassum polycystum"
"Fucales","Sargassum polyphyllum"
"Fucales","Sargassum ramifolium"
"Fucales","Sargassum rasta"
"Fucales","Sargassum serratum"
"Fucales","Sargassum siliquastrum"
"Fucales","Sargassum sp."
"Fucales","Sargassum sp.1"
"Fucales","Sargassum spp."
"Fucales","Sargassum spp.1"
"Fucales","Sargassum swartzii"
"Fucales","Sargassum vestitum"
"Fucales","Sargassum vulgare"
"Fucales","Sargassum wightii"
"Fucales","Scaberia agardhii"
"Fucales","Scytothalia dorycarpa"
"Fucales","Sirophysalis trinodis"
"Fucales","Turbinaria conoides"
"Fucales","Turbinaria decurrens"
"Fucales","Turbinaria gracilis"
"Fucales","Turbinaria ornata"
"Fucales","Turbinaria tricostata"
"Fucales","Turbinaria turbinata"
"Laminariales","Agarum clathratum"
"Laminariales","Agarum fimbriatum"
"Laminariales","Alaria marginata"
"Laminariales","Alaria nana"
"Laminariales","Costaria costata"
"Laminariales","Cymanthere triplicata"
"Laminariales","Dictyoneurum pyrifera"
"Laminariales","Ecklonia bicyclis"
"Laminariales","Ecklonia cava"
"Laminariales","Ecklonia radiata"
"Laminariales","Egregia menziesii"
"Laminariales","Eisenia arborea"
"Laminariales","Eisenia kurome"
"Laminariales","Eualaria fistulosa"
"Laminariales","Hedophyllum sessile"
"Laminariales","Laminaria complanata"
"Laminariales","Laminaria dentigera"
"Laminariales","Laminaria digitata"
"Laminariales","Laminaria farlowii"
"Laminariales","Laminaria groenlandica"
"Laminariales","Laminaria hyperborea"
"Laminariales","Laminaria ochroleuca"
"Laminariales","Laminaria sinclairii"
"Laminariales","Lessonia berteroana"
"Laminariales","Lessonia nigrescens"
"Laminariales","Lessonia spicata"
"Laminariales","Lessonia variegata"
"Laminariales","Lessoniopsis littoralis"
"Laminariales","Macrocystis angustifolia"
"Laminariales","Macrocystis pyrifera"
"Laminariales","Nereocystis luetkeana"
"Laminariales","Pleurophycus gardneri"
"Laminariales","Postelsia palmaeformis"
"Laminariales","Saccharina groenlandica"
"Laminariales","Saccharina latissima"
"Other","Analipus japonicus"
"Other","Ascoseira mirabilis"
"Other","Coilodesme californica"
"Other","Colpomenia sinuosa"
"Other","Halopteris scoparia"
"Other","Hydroclathrus clathratus"
"Other","Rosenvingea rathragensis"
"Other","Sporochnus moorei"
